提供機關名稱,資料集名稱,瀏覽次數,下載次數,資料集評分,上架日期
經濟部礦務局,台灣區土石生產量值表,"5,957",958,,2013/03/27
經濟部水利署,水利防災資訊,"7,998","1,492",100,2017/09/12
經濟部水利署,防災資訊_淹水警戒,"15,133","1,548",100,2017/09/12
經濟部水利署,防災資訊_河川警戒,"5,985",686,100,2017/09/12
經濟部水利署,防災資訊_水庫洩洪警戒,"6,256",880,100,2017/09/12
科技部中部科學工業園區管理局,中部科學工業園區園區活動訊息,"3,715",325,,2013/03/27
行政院公共工程委員會,拒絕往來廠商公告,"45,292","7,144",80,2013/03/27
行政院公共工程委員會,政府採購法規解釋函令及相關函文,"10,244",490,60,2013/03/27
海洋委員會海巡署,海上救生救難案例,"5,116",332,100,2013/03/27
海洋委員會海巡署,海巡統計年報,"4,053",264,,2013/03/27
海洋委員會海巡署,海巡雙月刊,"5,065",194,100,2013/03/27
海洋委員會海巡署,前行政院海岸巡防署「重大政策」,"4,033",156,,2013/03/27
海洋委員會海巡署,前行政院海岸巡防署「資本支出-中長程個案計畫」,"4,142",164,,2013/03/27
國家通訊傳播委員會,全國各縣市有線廣播電視基本頻道收視費用,"6,443",664,,2013/03/27
國家通訊傳播委員會,電信設備審驗合格清單,"5,661",583,20,2013/03/27
國家通訊傳播委員會,廣播電臺節目表,"4,734",652,40,2013/03/27
國家通訊傳播委員會,公眾頻率分配,"4,512",487,,2013/03/27
衛生福利部全民健康保險爭議審議會,全民健康保險爭議審議案件統計,"7,224",740,,2013/03/27
文化部,獨立音樂,"27,541","22,836",40,2013/03/27
文化部,徵選活動,"7,652","9,460",60,2013/03/27
文化部,競賽活動,"9,220","10,294",,2013/03/27
文化部,綜藝活動,"9,279","11,731",100,2013/03/27
文化部,電影,"38,500","26,568",60,2013/03/27
文化部,講座資訊,"9,888","11,650",60,2013/03/27
文化部,展覽資訊,"59,825","49,445",40,2013/03/27
文化部,演唱會,"21,572","19,484",100,2013/03/27
文化部,親子活動,"16,130","22,563",40,2013/03/27
文化部,舞蹈表演資訊,"44,761","31,598",100,2013/03/27
文化部,戲劇表演資訊,"49,467","10,131",80,2013/03/27
文化部,音樂表演資訊,"52,093","13,864",80,2013/03/27
文化部,其他藝文資訊,"36,607","9,304",100,2013/03/27
行政院主計總處,消費者物價基本分類指數,"16,135","3,108",100,2013/03/27
行政院主計總處,所得層級別消費者物價指數,"6,754","1,148",20,2013/03/27
行政院主計總處,消費者物價購買頻度別指數,"6,710","1,101",,2013/03/27
中央銀行,央行貼放利率,"5,038","14,614",60,2013/03/27
中央銀行,金融業隔夜拆款利率,"9,342","5,590",60,2013/03/27
中央銀行,貨幣總計數,"11,991","1,383",100,2013/03/27
中央銀行,外匯存底,"4,933","24,264",100,2013/03/27
中央銀行,每季新臺幣發行數額及準備狀況,"3,474",312,20,2013/03/27
經濟部工業局,臺灣製產品MIT微笑標章網站通過驗證產品資料,"6,315",874,100,2013/03/29
經濟部智慧財產局,專利百大排行,"4,680",986,100,2013/03/28
經濟部能源局,經濟部能源局_國際原油價格,"24,878","78,608",40,2013/03/28
經濟部能源局,經濟部能源局_用電安全資訊,"7,043",685,20,2013/03/28
經濟部能源局,再生能源電能躉購費率及其計算公式,"7,445",577,100,2013/03/28
經濟部能源局,車型耗能證明核發資料,"7,022","2,770",100,2013/03/28
行政院農業委員會,水產精品資料,"4,102",827,100,2013/02/26
行政院農業委員會,農村地方美食小吃特色料理,"21,930","13,111",20,2015/03/30
財政部國庫署,公益彩券盈餘分配及銷售量簡表,"7,077","16,997",100,2013/03/28
財政部財政資訊中心,綜合所得稅結算申報人工申報案件統計表,"6,654","3,967",80,2013/03/28
金融監督管理委員會,金管會新聞稿,"12,899","25,032",20,2013/03/28
金融監督管理委員會,金融機構基本資料查詢,"36,723","22,120",20,2013/03/28
經濟部商業司,公司設立登記清冊(月份),"86,775","38,099",100,2013/11/30
經濟部商業司,公司變更登記清冊(月份),"37,365","13,496",,2013/11/30
經濟部商業司,公司解散登記清冊(月份),"31,210","12,394",40,2013/11/30
台灣自來水股份有限公司,停水資訊,"32,500","7,010",60,2013/03/29
交通部公路總局,道路(橋梁)預警性封閉,"10,252","1,299",20,2017/04/27
交通部公路總局,客運時刻,"20,477","2,539",20,2017/02/08
財政部關務署,海關進出口貿易統計,"14,003","4,404",100,2013/03/29
財政部國有財產署,國有非公用土地提供綠美化資訊公開,"5,827","1,283",100,2014/11/27
勞動部,勞工育樂中心訊息,"6,320",692,100,2013/03/31
勞動部勞動基金運用局,新制勞工退休基金歷年最低保證收益率,"5,456","1,052",,2013/03/31
勞動部勞動力發展署,就業博覽會及現場徵才資訊,"12,790","1,978",100,2013/03/31
勞動部勞動力發展署,職業訓練課程資訊,"23,931","2,413",100,2013/03/31
勞動部勞工保險局,勞保局各地辦事處,"5,148",790,40,2013/03/31
勞動部勞工保險局,勞工保險局業管年金給付介紹,"4,182",864,,2013/03/31
台灣電力股份有限公司,用電統計資料,"53,051","8,855",80,2014/03/13
台灣中油股份有限公司油品行銷事業部,加油站服務資訊,"15,572","3,143",100,2013/04/01
民用航空局,國內定期航線月份班表,"6,622",815,100,2017/07/20
交通部中央氣象局,顯著有感地震報告,"186,185","1,191,871",100,2017/02/14
交通部中央氣象局,一般天氣預報-今明36小時天氣預報,"50,419","47,885",100,2015/12/29
交通部公路總局,道路(橋梁)災害性封閉,"11,722","1,500",40,2017/04/27
交通部航港局,金廈(五通)及石井航線航班表,"6,321",686,20,2016/08/10
交通部航港局,馬祖小三通(南竿福澳-琅岐、北竿白沙-黃岐)航班表,"6,280",906,80,2016/08/11
科技部南部科學工業園區管理局,南部科學工業園區園區活動通報資訊,"4,221",304,60,2013/04/01
行政院環境保護署,空氣品質監測站基本資料,"26,422","8,554",100,2013/05/22
行政院環境保護署,紫外線即時監測資料,"77,775","41,268",100,2013/05/22
行政院環境保護署,紫外線測站基本資料,"7,694","2,380",100,2013/05/22
行政院環境保護署,河川水質監測資料,"9,547","2,708",100,2013/05/22
行政院環境保護署,河川水質測點基本資料(含地理圖資),"9,576","2,753",60,2013/05/22
原住民族委員會,原住民族歲時祭儀放假日期,"4,889",872,,2013/10/15
原住民族委員會,歷年台閩縣市原住民族人口-按性別族別,"4,418",787,100,2013/08/29
原住民族委員會,原住民十大特色美食,"7,498","2,800",100,2013/08/29
原住民族委員會,101年臺灣原住民族文學獎,"3,645",705,80,2013/10/15
原住民族委員會,拜訪部落-擁抱25條臺灣原住民私房景點路線,"11,409","2,346",20,2013/04/01
教育部統計處,幼兒園名錄,"22,124","7,033",100,2014/08/01
教育部統計處,國民小學名錄,"17,283","5,872",20,2014/08/01
教育部統計處,國民中學名錄,"7,795","2,154",100,2014/08/01
教育部統計處,一般高級中等學校名錄,"12,826","3,663",100,2014/08/01
教育部統計處,獨立高級中等進修學校名錄,"7,168","1,168",100,2014/08/01
教育部統計處,大專校院名錄,"31,011","11,512",100,2014/08/01
國立故宮博物院,第2批書畫類文物後設資料,"3,482",211,,2013/04/01
國立故宮博物院,第1批書畫類文物後設資料,"3,988",270,,2013/04/01
行政院原子能委員會,核能電廠運轉資訊,"3,537",320,,2013/04/02
行政院原子能委員會,全國環境輻射偵測,"62,130","103,053",40,2013/04/02
行政院原子能委員會,原能會Youtube專區,"3,156",162,,2013/04/02
行政院原子能委員會,國內輻射偵檢合格鋼鐵業名冊,"3,525",202,,2013/04/02
行政院原子能委員會,體外劑量評定機構名單,"2,446",130,,2013/04/02
國家發展委員會,景氣指標及燈號,"48,068","2,662",40,2013/04/03
國家發展委員會,臺灣採購經理人指數,"7,414",674,100,2013/04/03
國家發展委員會,人口推計,"7,539",731,100,2013/04/03
國家發展委員會,"0-0 都市及區域發展統計彙編","7,780",627,100,2013/04/03
大陸委員會,大陸地區人民來臺從事文教交流統計,"3,917",422,100,2014/09/24
大陸委員會,大陸人士來臺從事文教交流核准數,"3,452",196,,2014/09/24
大陸委員會,金馬小三通航運人員往來統計月報,"3,339",508,100,2014/09/24
僑務委員會,海外僑民團體數,"3,702",650,100,2013/04/03
僑務委員會,海外華文學校、中文班分布情形,"3,409",562,,2013/04/03
僑務委員會,海外信用保證基金承保案件統計,"3,273",429,,2013/04/03
僑務委員會,各級學校及海青班在學僑生人數統計,"3,693",454,,2013/04/03
僑務委員會,辦理華僑身分證明書、護照加簽僑居身分及役政用華僑身分證明書案件,"3,873",400,100,2013/04/03
外交部,駐外館處通訊錄,"3,407",264,100,2013/04/09
外交部,駐華使館及機構通訊錄,"2,986",251,100,2013/04/09
中華郵政股份有限公司,全國郵局ATM分佈,"14,503","3,274",20,2017/03/09
國軍退除役官兵輔導委員會,退輔會所屬醫療機構基本資料,"4,479",271,,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬醫療機構開設病床數,"3,933",273,,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬安養機構基本資料,"3,622",361,100,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬安養機構現有床位數,"4,133",504,,2013/04/09
國軍退除役官兵輔導委員會,退輔會所屬農林遊憩區基本資料,"3,760",256,,2013/04/09
公平交易委員會,多層次傳銷-已完成報備名單,"8,149",546,40,2013/04/09
公平交易委員會,多層次傳銷-尚待補正名單,"2,829",321,,2013/04/09
公平交易委員會,多層次傳銷-搬遷不明及無營業跡象名單,"3,023",248,,2013/04/09
公平交易委員會,多層次傳銷-已起訴或判決名單,"3,378",299,80,2013/04/09
公平交易委員會,多層次傳銷事業報備家數統計,"2,965",200,,2013/04/09
警政署,歷年重大交通事故地點資料,"17,771","3,316",100,2014/03/13
衛生福利部食品藥物管理署,不符合食品資訊資料集,"25,164","2,693",100,2014/09/25
衛生福利部食品藥物管理署,藥局基本資料,"60,477","21,993",60,2014/09/19
國立故宮博物院,第1批器物類文物後設資料,"3,622",188,,2013/04/11
國立故宮博物院,第2批器物類文物後設資料,"3,468",150,,2013/04/11
國立故宮博物院,第3批器物類文物後設資料,"3,416",144,,2013/04/11
交通部臺灣鐵路管理局,鐵路時刻表,"99,195","13,389",80,2016/04/26
臺灣港務股份有限公司,基隆港國際線旅客船船期表,"8,139",832,20,2015/12/29
臺灣港務股份有限公司,高雄港郵輪船期,"12,776","10,574",100,2016/07/11
臺灣港務股份有限公司,花蓮港務分公司觀光郵輪各航次進出港預報表,"6,063",445,100,2015/12/29
行政院原子能委員會,核子反應器設施持照運轉員人數,"2,709",141,,2013/04/12
客家委員會,客家委員會客家學術機構,"3,958",331,,2013/12/19
客家委員會,客家委員會海外客家社團,"4,755",461,,2013/12/19
客家委員會,客家委員會客語生活學校,"4,240",518,,2013/12/19
行政院農業委員會,屏東農業生物技術園區進駐企業資訊,"2,700",411,,2013/06/11
勞動部勞動力發展署,微型創業鳳凰創業課程,"6,006",530,100,2013/04/22
勞動部勞動及職業安全衛生研究所,勞動及職業安全衛生研究所_各年度研究報告,"3,687",340,,2013/04/22
行政院公共工程委員會,決標金額前5大之決標公告,"8,273",342,80,2013/04/22
行政院公共工程委員會,各科執業技師人數統計,"5,575",544,60,2013/04/25
國家災害防救科技中心,中央氣象局颱風路徑及預報,"10,226","5,543",20,2013/04/26
國家災害防救科技中心,中央氣象局颱風暴潮觀測,"5,417",709,60,2013/04/26
國家災害防救科技中心,中央氣象局雷達回波,"25,966","159,823",20,2013/04/26
國家災害防救科技中心,中央氣象局雨量觀測-日累積圖,"16,522","8,541",80,2013/04/26
國家災害防救科技中心,中央氣象局雨量站觀測資料,"113,816","65,911",100,2013/04/26
國家災害防救科技中心,中央氣象局颱風侵襲機率,"7,637","1,626",100,2013/04/26
國家災害防救科技中心,水土保持局土石流潛勢溪流(新北市),"7,374","1,243",100,2013/04/26
國家災害防救科技中心,水利署淹水警戒,"8,514","1,942",100,2013/04/26
國家災害防救科技中心,水利署水庫洩洪警戒,"5,513",734,,2013/04/26
國家災害防救科技中心,中央氣象局豪大雨特報,"13,424","8,373",60,2013/04/29
國家災害防救科技中心,中央氣象局地震報告,"11,842","5,240",20,2013/04/29
國家災害防救科技中心,中央氣象局海嘯警報,"6,414","1,911",,2013/04/29
國家災害防救科技中心,水土保持局土石流紅黃警戒,"10,139","3,047",60,2013/04/29
國家災害防救科技中心,中央氣象局颱風警報,"8,169","2,860",60,2013/04/29
國家災害防救科技中心,水利署河川水位警戒,"11,091","2,605",40,2013/04/29
財政部財政資訊中心,全國財產稅籍持有人數統計表,"7,733","2,423",100,2013/04/30
台灣糖業股份有限公司,台糖加油站據點資訊,"7,710","1,065",80,2013/05/02
研究發展考核委員會,無線上網熱點列表,"8,070","1,158",100,2016/05/05
臺南市政府工務局,臺南市政府道路挖掘案件資料,"3,355",299,,2017/09/02
臺南市政府工務局,臺南市政府工務局在建工程列表,"3,448",345,,2017/09/02
臺南市政府社會局,臺南市私立托嬰中心名冊暨收費標準一覽表,"5,106",746,100,2017/04/14
臺南市政府社會局,臺南市兒少安置機構名冊,"5,905",826,100,2017/04/14
國防部,衛教資訊,"6,418",807,20,2013/05/02
臺南市政府工務局,公園基本資料,"3,877",588,100,2015/10/07
臺南市政府觀光旅遊局,臺南景點,"7,895","1,835",20,2017/07/14
臺南市政府觀光旅遊局,臺南餐飲,"5,986","1,305",20,2017/07/14
國防部,國軍鳥擊防制資料,"4,291",408,100,2013/05/03
國防部,各縣市國軍英雄館基本資料表,"4,015",305,100,2013/05/07
國防部,國軍協助災害防救,"9,515",683,80,2013/05/08
國防部,國軍文藝活動中心,"9,271",395,80,2013/05/13
國防部,國軍加強河川野溪疏濬,"4,560",209,20,2013/05/23
國防部,外島排雷成效資料,"4,524",278,20,2013/05/23
桃園國際機場股份有限公司,台灣桃園國際機場無線上網熱點位置,"4,502",423,40,2017/03/24
國防部,國軍醫院基本資料,"9,285",664,100,2013/06/13
地政司,本期發布之預售屋買賣實價登錄批次資料,"14,791","5,266",20,2014/03/13
交通部,機車使用狀況調查,"32,428","5,843",100,2016/05/11
臺南市政府教育局,運動地圖,"7,708",767,,2016/03/17
交通部高速公路局,高速公路局各服務區顧客服務專線一覽表,"4,096",356,,2015/12/29
文化部,文化部公共藝術,"36,475","19,230",80,2013/07/08
文化部,文化行政據點,"4,072",418,,2013/07/08
文化部,特色圖書館,"5,119","1,383",80,2013/07/08
文化部,文創商店,"7,184","1,315",20,2013/07/08
文化部,獨立書店,"12,027","4,715",100,2013/07/08
金融監督管理委員會,各金融機構共通性費用資訊彙整表(銀行),"5,768",719,40,2013/07/10
金融監督管理委員會,各金融機構共通性費用資訊彙整表(信合社),"3,807",296,,2013/07/10
交通部高速公路局,高速公路延車公里統計,"5,961",768,100,2016/04/28
教育部國民及學前教育署,學生體重平均值(6歲-15歲),"12,931","3,879",80,2013/08/30
教育部國民及學前教育署,十二年國民基本教育-適性輔導影片,"3,053",263,,2013/08/30
教育部統計處,大專院校校別學生數,"24,233","30,070",100,2015/01/30
教育部統計處,大專院校校別專任教師數,"5,735","1,174",60,2015/01/30
教育部統計處,大專校院校別專任教師數－學歷別,"4,924",801,,2015/01/30
教育部統計處,大專院校校別班級數,"4,155",521,,2013/08/01
教育部統計處,大專校院校別畢業生人數(上學年度),"4,338",877,,2015/01/30
教育部統計處,宗教研修學院概況－按校別分,"4,423",674,100,2015/01/30
教育部統計處,空大及大專進修學校概況,"3,384",488,,2015/01/30
教育部統計處,"高級中等學校校別資料(含進修部(學校)) ","4,012",788,,2015/01/30
教育部統計處,國民中學校別資料,"5,332",927,,2015/01/30
教育部統計處,國民小學校別資料,"5,770","1,206",,2015/01/30
教育部統計處,補習學校校別資料,"3,491",567,,2015/01/30
文化部,博物館,"8,194","1,757",,2013/08/30
文化部,文化部社區,"10,796","1,461",20,2013/08/30
文化部,地方文化館,"6,649",835,100,2013/08/30
國立臺灣工藝研究發展中心,工藝中心臺灣工藝之家,"7,583",696,100,2013/08/30
文化部文化資產局,文資局古蹟,"10,073","2,365",80,2013/08/30
警政署,婦幼安全警示地點,"54,671","56,521",100,2014/03/13
交通部,民眾日常使用運具狀況調查,"24,061","7,014",100,2016/08/01
交通部,小客貨車租賃業營運狀況調查,"10,320","1,274",100,2016/05/11
交通部,自行車使用狀況調查,"10,492","1,403",60,2016/05/11
交通部,民眾對交通部施政措施滿意度調查,"8,253","1,021",100,2016/05/11
交通部,計程車營運狀況調查,"13,574","3,167",100,2016/11/01
交通部,遊覽車營運狀況調查,"11,820","1,314",40,2016/11/01
勞動部勞工保險局,勞保投保薪資分級表,"21,592","2,779",40,2013/09/06
勞動部勞工保險局,勞就保保險費分擔金額表,"4,934",942,100,2013/09/06
勞動部勞工保險局,職業工會會員勞保月負擔保險費金額表,"5,112",576,60,2013/09/06
勞動部勞工保險局,漁會會員勞保月負擔保險費金額表,"3,798",411,100,2013/09/06
勞動部勞工保險局,職業災害保險適用行業別及費率表,"18,293","3,531",100,2013/09/06
勞動部勞工保險局,投保農會名稱與地址一覽表,"2,295",437,100,2013/09/06
勞動部勞工保險局,勞保局國保業務說明會辦理地區場次,"2,451",362,40,2013/09/06
勞動部勞工保險局,直轄市或縣（市）政府辦理身心障礙鑑定指定醫療機構名冊,"3,172",323,,2013/09/06
勞動部勞工保險局,國民年金保險費代收及轉帳代繳金融機構一覽表,"3,389",280,,2013/09/06
勞動部勞工保險局,勞工保險局委託代收、轉帳保險費金融機構一覽表,"2,456",249,,2013/09/06
勞動部勞工保險局,職業工會、漁會欠費名單,"5,779",820,100,2013/09/06
勞動部勞工保險局,勞工保險預防職業病健康檢查之檢查對象及項目,"4,097",338,,2013/09/06
勞動部勞工保險局,衛生福利部評鑑合格之醫院名單,"30,015","7,246",80,2013/09/06
勞動部勞工保險局,勞工退休金繳納方式,"3,445",474,,2013/09/06
勞動部勞工保險局,勞退個人專戶查詢管道,"4,103",538,100,2013/09/06
勞動部勞工保險局,勞工退休金月提繳分級表,"9,348","1,066",,2013/09/06
勞動部勞工保險局,積欠工資墊償歷年統計,"2,475",426,,2013/09/06
勞動部勞工保險局,積欠工資墊償追償統計,"2,564",463,,2013/09/06
勞動部,工會團體名冊,"8,384","2,762",100,2013/09/06
勞動部,勞動基準法適用公告,"3,530",540,,2013/09/06
勞動部,勞動基準法第84條之1核定工作者,"5,912","1,206",100,2013/09/06
勞動部,基本工資之制定與調整經過,"6,734",944,100,2013/09/06
教育部國民及學前教育署,學生身高平均值(6歲-15歲),"54,455","6,752",60,2013/09/06
教育部國民及學前教育署,國小學生體位趨勢,"9,029","1,725",80,2013/09/06
教育部國民及學前教育署,特殊教育學校名錄,"2,897",378,,2013/09/06
教育部統計處,大專校院校別職員.警衛.工友人數,"3,090",551,20,2015/01/30
教育部統計處,大專校院校地校舍面積統計,"10,466","2,694",100,2015/01/30
教育部統計處,大專校院圖書館統計,"9,635","2,506",20,2015/01/30
教育部統計處,大專校院境外學生人數統計,"11,641","5,541",40,2015/02/05
教育部統計處,大專校院外籍專任教師統計－按校別、性別與職級別分,"3,040",501,,2015/01/30
教育部統計處,大專校院外籍專任教師統計－按校別、國別、性別與職級別分,"3,358",554,100,2015/01/30
僑務委員會,十月慶典回國僑胞報到人數,"2,312",167,,2013/09/06
僑務委員會,函授教育入學及結業學生人數,"1,966",160,,2013/09/06
僑務委員會,大專院校畢業僑生人數,"2,322",196,,2013/09/06
僑務委員會,僑民對九二一大地震之反應及捐款情形,"2,499",171,100,2013/09/06
勞動部,台灣勞工季刊,"13,732",859,100,2013/09/13
行政院環境保護署,國際環保新聞週報,"5,128",801,,2013/07/25
行政院環境保護署,環保新聞,"3,502",945,,2013/09/10
僑務委員會,海外僑教中心地址及聯絡資訊,"2,377",156,100,2013/09/13
僑務委員會,歷屆美洲各地中華會館、中華公所、華僑總會聯誼會召開年會時間及地點,"2,516",154,100,2013/09/13
僑務委員會,歷屆歐洲華僑團體聯誼會召開年會時間及地點,"2,255",135,100,2013/09/13
僑務委員會,歷屆中美洲暨巴拿馬六國中華、華僑總會聯合總會召開年會時間及地點,"2,624",135,100,2013/09/13
僑務委員會,核發華僑身分證明書案件─按僑居地別分,"2,145",152,,2013/09/13
僑務委員會,僑務委員會議資料表,"2,212",197,,2013/09/13
行政院主計總處,消費者物價商品性質分類指數,"4,613",761,,2013/09/13
交通部,自用小客車使用狀況調查,"17,450","3,096",40,2016/05/11
交通部,汽車貨運調查,"7,990","1,080",100,2016/08/22
台灣自來水股份有限公司,水質資訊,"9,808","1,601",100,2013/09/25
台灣自來水股份有限公司,供水人口及普及率,"7,047",928,100,2013/09/25
台灣自來水股份有限公司,深溝水源生態園區介紹,"2,783",280,,2013/09/25
教育部國民及學前教育署,奧林匹亞競賽歷年參賽成績,"3,824",427,,2013/09/25
教育部國民及學前教育署,高級中等學校實用技能學程核班情形,"3,261",378,,2013/09/25
教育部國民及學前教育署,建教合作班核班情形,"2,458",345,,2013/09/25
教育部國民及學前教育署,十二年國民基本教育-國中活化教學列車影片,"2,579",205,,2013/09/25
教育部國民及學前教育署,國民中小學教科書審定通過表,"2,602",179,,2013/09/25
國家教育研究院,國家教育研究院專案研究報告,"2,924",191,,2013/09/25
國家教育研究院,國際教育訊息電子報,"3,098",182,,2013/09/25
國家教育研究院,愛學網電視館,"6,287",179,100,2013/09/25
國家教育研究院,教育學學術名詞,"2,834",162,,2013/09/25
國家教育研究院,中央機關一般職稱雙語詞彙,"24,746","6,450",20,2013/09/25
國立教育廣播電臺,國立教育廣播電臺公告事項,"1,849",167,100,2013/09/25
國立教育廣播電臺,國立教育廣播電臺大事紀要,"2,358",172,100,2013/09/25
國立教育廣播電臺,國立教育廣播電臺文教新聞,"2,313",199,100,2013/09/25
國立教育廣播電臺,國立教育廣播電臺節目快訊,"2,314",192,100,2013/09/25
國家發展委員會,"0-1 都市及區域發展指標","3,256",295,,2013/09/28
國家發展委員會,"1-1 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例","4,731",682,20,2013/09/28
國家發展委員會,"1-2 土地面積、戶數、人口數、人口密度、年齡結構及扶養比例按主要都市分","5,464",556,,2013/09/28
國家發展委員會,"1-3 人口成長","2,920",325,100,2013/09/28
國家發展委員會,"1-4 人口成長按主要都市分","2,707",238,80,2013/09/28
國家發展委員會,"1-5 農戶與非農戶人口","2,326",211,,2013/09/28
經濟部加工出口區管理處,園區土地資訊,"3,835",454,,2013/09/30
經濟部加工出口區管理處,園區標準廠房資訊,"3,321",386,,2013/09/30
經濟部加工出口區管理處,園區事業別營業額資訊,"2,465",209,,2013/09/30
經濟部加工出口區管理處,園區事業資金來源資訊,"2,110",155,,2013/09/30
經濟部加工出口區管理處,園區各業別暨受雇員工平均工資資訊,"4,216",276,,2013/09/30
經濟部加工出口區管理處,園區水電耗用狀況資訊,"2,522",210,100,2013/09/30
台灣糖業股份有限公司,台糖蜜鄰便利超市據點資訊,"5,496",389,20,2013/09/30
經濟部國際貿易局,"貨品輸出入規定資料 (統計參考用)","4,258",600,20,2013/10/02
台灣中油股份有限公司油品行銷事業部,中油主產品牌價,"23,434","2,976",100,2013/10/02
勞動部職業安全衛生署,通過臺灣職業安全衛生管理系統(TOSHMS)驗證之事業單位名單,"3,296",313,,2013/10/02
勞動部職業安全衛生署,勞工安全衛生教育訓練單位評鑑結果績優名單,"3,782",296,,2013/10/02
行政院環境保護署,沙塵預報資料,"3,334",724,20,2013/09/10
行政院環境保護署,全國細懸浮微粒手動監測資料,"6,001","2,865",80,2013/09/10
行政院環境保護署,土壤及地下水污染管制區公告資料,"8,855","1,586",100,2013/09/10
行政院環境保護署,水庫水質監測資料,"4,614","1,113",20,2013/08/08
行政院環境保護署,海域水質監測資料,"2,949",654,,2013/08/08
行政院環境保護署,海灘夏季水質監測資料,"2,808",800,,2013/08/08
行政院環境保護署,區域性地下水水質監測資料,"3,320",599,100,2013/08/08
行政院環境保護署,空氣品質預報資料,"13,792","61,374",20,2013/10/02
行政院環境保護署,土壤及地下水污染場址基本資料,"4,512",767,100,2013/07/29
行政院環境保護署,機車排氣定檢站資料,"4,833",805,,2013/07/29
行政院環境保護署,環境空氣戴奧辛監測資料,"4,816",925,100,2013/09/06
行政院環境保護署,列管毒性化學物質毒理資料,"4,248",638,,2013/08/08
行政院環境保護署,自來水水質抽驗結果(依件數),"2,595",484,,2013/08/23
行政院環境保護署,自來水水質抽驗結果(依項目),"2,786",558,,2013/08/23
行政院環境保護署,包裝及盛裝飲用水水源水質抽驗結果,"2,827",563,100,2013/08/23
行政院環境保護署,應回收廢棄物回收業者資料,"6,420",765,60,2013/07/29
行政院環境保護署,應回收廢棄物處理業者資料,"3,098",671,20,2013/07/29
行政院環境保護署,全國各縣市清潔隊資料,"3,458",520,,2013/07/29
行政院環境保護署,環境影響評估案件摘要資料,"2,633",473,,2013/08/08
行政院環境保護署,列管污染源基本資料發布,"10,136","1,301",100,2013/08/08
行政院環境保護署,公民營廢棄物清除機構資料,"4,208",571,,2013/07/29
行政院環境保護署,廢行動通訊產品回收點資料,"2,442",369,,2013/07/29
